,Año,Trimestre,Provincia,Mbps (Media de bajada)
180,2020,3,Mendoza,10
181,2020,3,Misiones,24
182,2020,3,Neuquén,31
183,2020,3,Río Negro,21
184,2020,3,Salta,25
185,2020,3,San Juan,6
186,2020,3,San Luis,21
187,2020,3,Santa Cruz,7
188,2020,3,Santa Fe,26
189,2020,3,Santiago Del Estero,11
190,2020,3,Tierra Del Fuego,9
191,2020,3,Tucumán,35
192,2020,2,Buenos Aires,46
193,2020,2,Capital Federal,60
194,2020,2,Catamarca,35
195,2020,2,Chaco,28
196,2020,2,Chubut,8
197,2020,2,Córdoba,31
198,2020,2,Corrientes,22
199,2020,2,Entre Ríos,20
200,2020,2,Formosa,17
201,2020,2,Jujuy,16
202,2020,2,La Pampa,8
203,2020,2,La Rioja,12
204,2020,2,Mendoza,9
205,2020,2,Misiones,23
206,2020,2,Neuquén,29
207,2020,2,Río Negro,20
208,2020,2,Salta,23
209,2020,2,San Juan,6
210,2020,2,San Luis,21
211,2020,2,Santa Cruz,7
212,2020,2,Santa Fe,24
213,2020,2,Santiago Del Estero,10
214,2020,2,Tierra Del Fuego,8
215,2020,2,Tucumán,33
216,2020,1,Buenos Aires,45
217,2020,1,Capital Federal,59
218,2020,1,Catamarca,29
219,2020,1,Chaco,26
220,2020,1,Chubut,7
221,2020,1,Córdoba,29
222,2020,1,Corrientes,21
223,2020,1,Entre Ríos,19
224,2020,1,Formosa,16
225,2020,1,Jujuy,14
226,2020,1,La Pampa,7
227,2020,1,La Rioja,8
228,2020,1,Mendoza,8
229,2020,1,Misiones,22
230,2020,1,Neuquén,28
231,2020,1,Río Negro,19
232,2020,1,Salta,21
233,2020,1,San Juan,6
234,2020,1,San Luis,21
235,2020,1,Santa Cruz,6
236,2020,1,Santa Fe,22
237,2020,1,Santiago Del Estero,10
238,2020,1,Tierra Del Fuego,7
239,2020,1,Tucumán,32
240,2019,4,Buenos Aires,31
241,2019,4,Capital Federal,44
242,2019,4,Catamarca,25
243,2019,4,Chaco,23
244,2019,4,Chubut,7
245,2019,4,Córdoba,26
246,2019,4,Corrientes,19
247,2019,4,Entre Ríos,17
248,2019,4,Formosa,15
249,2019,4,Jujuy,13
250,2019,4,La Pampa,7
251,2019,4,La Rioja,8
252,2019,4,Mendoza,8
253,2019,4,Misiones,20
254,2019,4,Neuquén,26
255,2019,4,Río Negro,17
256,2019,4,Salta,19
257,2019,4,San Juan,6
258,2019,4,San Luis,21
259,2019,4,Santa Cruz,5
260,2019,4,Santa Fe,21
261,2019,4,Santiago Del Estero,10
262,2019,4,Tierra Del Fuego,7
263,2019,4,Tucumán,30
264,2019,3,Buenos Aires,26
265,2019,3,Capital Federal,39
266,2019,3,Catamarca,9
267,2019,3,Chaco,20
268,2019,3,Chubut,7
269,2019,3,Córdoba,23
270,2019,3,Corrientes,17
271,2019,3,Entre Ríos,15
272,2019,3,Formosa,13
273,2019,3,Jujuy,12
274,2019,3,La Pampa,6
275,2019,3,La Rioja,8
276,2019,3,Mendoza,6
277,2019,3,Misiones,18
278,2019,3,Neuquén,24
279,2019,3,Río Negro,16
280,2019,3,Salta,15
281,2019,3,San Juan,6
282,2019,3,San Luis,20
283,2019,3,Santa Cruz,5
284,2019,3,Santa Fe,18
285,2019,3,Santiago Del Estero,9
286,2019,3,Tierra Del Fuego,7
287,2019,3,Tucumán,19
288,2019,2,Buenos Aires,22
289,2019,2,Capital Federal,30
290,2019,2,Catamarca,9
291,2019,2,Chaco,16
292,2019,2,Chubut,6
293,2019,2,Córdoba,18
294,2019,2,Corrientes,14
295,2019,2,Entre Ríos,12
296,2019,2,Formosa,11
297,2019,2,Jujuy,12
298,2019,2,La Pampa,5
299,2019,2,La Rioja,8
300,2019,2,Mendoza,6
301,2019,2,Misiones,14
302,2019,2,Neuquén,17
303,2019,2,Río Negro,12
304,2019,2,Salta,13
305,2019,2,San Juan,6
306,2019,2,San Luis,20
307,2019,2,Santa Cruz,6
