,Provincia,Poblacion
234,CATAMARCA,0
235,CATAMARCA,0
236,CATAMARCA,29
237,CATAMARCA,12600
238,CABA,33623
239,CORDOBA,7136
240,CORDOBA,0
241,CORDOBA,0
242,CORDOBA,518
243,CORDOBA,1017
244,CORDOBA,555
245,CORDOBA,134
246,CABA,81959
247,FORMOSA,4676
248,FORMOSA,887
249,FORMOSA,4060
250,FORMOSA,261
251,FORMOSA,2244
252,FORMOSA,417
253,FORMOSA,1598
254,JUJUY,538
255,JUJUY,187
256,JUJUY,181
257,JUJUY,146
258,JUJUY,178
259,JUJUY,16874
260,JUJUY,91
261,JUJUY,233
262,JUJUY,0
263,JUJUY,378
264,JUJUY,33
265,LA PAMPA,1586
266,LA PAMPA,4814
267,LA PAMPA,2034
268,LA PAMPA,678
269,LA PAMPA,307
270,LA PAMPA,68
271,LA PAMPA,1904
272,LA PAMPA,1705
273,MENDOZA,79476
274,MENDOZA,2545
275,MENDOZA,1450
276,MENDOZA,956
277,MENDOZA,0
278,MENDOZA,160
279,MENDOZA,208
280,MENDOZA,120
281,MENDOZA,0
282,MENDOZA,0
283,MENDOZA,362
284,MENDOZA,1253
285,MENDOZA,0
286,MENDOZA,1030
287,MENDOZA,65
288,MENDOZA,462
289,MENDOZA,2126
290,NEUQUEN,231198
291,NEUQUEN,13172
292,NEUQUEN,32390
293,NEUQUEN,7542
294,NEUQUEN,707
295,NEUQUEN,895
296,NEUQUEN,1513
297,NEUQUEN,12621
298,SAN LUIS,40
299,SAN LUIS,0
300,RIO NEGRO,3112
301,RIO NEGRO,6772
302,RIO NEGRO,81534
303,RIO NEGRO,6227
304,RIO NEGRO,295
305,RIO NEGRO,1848
306,RIO NEGRO,1024
307,RIO NEGRO,158
308,RIO NEGRO,0
309,RIO NEGRO,653
310,RIO NEGRO,814
311,RIO NEGRO,0
312,RIO NEGRO,693
313,RIO NEGRO,432
314,RIO NEGRO,2697
315,SAN JUAN,1439
316,SAN JUAN,973
317,SAN JUAN,231
318,SAN JUAN,1134
319,SAN JUAN,0
320,SAN JUAN,588
321,SAN JUAN,1661
322,SAN JUAN,0
323,SAN JUAN,15409
324,SAN JUAN,24240
325,SAN JUAN,0
326,SAN JUAN,778
327,SAN JUAN,0
328,SAN JUAN,0
329,SAN JUAN,109424
330,SAN JUAN,520
331,SAN JUAN,0
332,SANTA CRUZ,14183
333,SANTA CRUZ,58
334,SANTA CRUZ,6145
335,SANTA CRUZ,55
336,SANTA CRUZ,293
337,SANTA CRUZ,27
338,SANTA CRUZ,95796
339,SANTA CRUZ,677
340,SANTA CRUZ,8814
341,SANTA CRUZ,16655
342,SANTA CRUZ,1627
343,SANTA CRUZ,282
344,SANTA CRUZ,3363
345,SAN LUIS,0
346,SAN LUIS,0
347,SAN LUIS,0
348,SAN LUIS,697
349,SAN LUIS,0
350,SAN LUIS,0
351,SAN LUIS,181
352,SANTA CRUZ,6405
353,SANTA CRUZ,4431
354,SANTA CRUZ,51733
355,SANTA CRUZ,879
356,SANTA CRUZ,326
357,SANTA CRUZ,420
358,SANTA CRUZ,250
359,SANTA CRUZ,17821
360,SANTA CRUZ,20889
361,SANTA CRUZ,4617
362,SANTA CRUZ,7894
363,SANTA CRUZ,33
364,SANTA CRUZ,4497
365,SANTA CRUZ,266
366,SANTA FE,0
367,SANTA FE,169
368,SANTA FE,998
369,SANTA FE,1358
370,SANTA FE,0
371,SANTA FE,630
372,SANTA FE,146
373,SANTA FE,980
374,SANTA FE,228
375,SANTA FE,993
376,SANTA FE,1834
377,SANTA FE,2517
378,SANTA FE,471
379,SANTA FE,3039
380,SANTA FE,1007
381,SANTA FE,54
382,SANTA FE,421
383,SANTA FE,47374
384,SANTA FE,3367
385,SANTA FE,5756
386,SANTA FE,873
387,SANTA FE,588
388,SANTA FE,3435
389,SANTA FE,236
390,SANTA FE,487
391,SANTA FE,225
392,SANTA FE,1368
393,SANTA FE,5634
394,SANTA FE,1838
395,SANTA FE,213
396,SANTA FE,79
397,SANTA FE,820
